sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s174	s174_a1	sample	1	a	1	47	2015-03-06 03:52:00	23-dinor-8-iso-PGF2a	3.41	1100	23-dinor-8-iso-PGF2a_ISTD	4.643	52720
s174	s174_a1	sample	1	a	1	47	2015-03-06 03:52:00	8-iso-PGF3a	3.679	10007	8-iso-PGF3a_ISTD	4.643	52720
s078	s078_a1	sample	1	a	1	48	2015-03-06 04:07:00	23-dinor-11b-PGF2a	3.931	6	23-dinor-11b-PGF2a_ISTD	5.2	133276
s078	s078_a1	sample	1	a	1	48	2015-03-06 04:07:00	23-dinor-8-iso-PGF2a	3.4	1579	23-dinor-8-iso-PGF2a_ISTD	4.633	33089
s078	s078_a1	sample	1	a	1	48	2015-03-06 04:07:00	8-iso-PGF3a			8-iso-PGF3a_ISTD	4.633	33089
s137	s137_a1	sample	1	a	1	49	2015-03-06 04:21:00	23-dinor-11b-PGF2a	4.009	799	23-dinor-11b-PGF2a_ISTD	5.207	177033
s137	s137_a1	sample	1	a	1	49	2015-03-06 04:21:00	23-dinor-8-iso-PGF2a	3.426	833	23-dinor-8-iso-PGF2a_ISTD	4.644	42687
s137	s137_a1	sample	1	a	1	49	2015-03-06 04:21:00	8-iso-PGF3a	3.806	5253	8-iso-PGF3a_ISTD	4.644	42687
s057	s057_a1	sample	1	a	1	50	2015-03-06 04:35:00	23-dinor-11b-PGF2a	4.02	371	23-dinor-11b-PGF2a_ISTD	5.204	153959
s057	s057_a1	sample	1	a	1	50	2015-03-06 04:35:00	23-dinor-8-iso-PGF2a	3.407	489	23-dinor-8-iso-PGF2a_ISTD	4.643	36430
s057	s057_a1	sample	1	a	1	50	2015-03-06 04:35:00	8-iso-PGF3a	3.679	4500	8-iso-PGF3a_ISTD	4.643	36430
s193	s193_a1	sample	1	a	1	51	2015-03-06 04:50:00	23-dinor-11b-PGF2a			23-dinor-11b-PGF2a_ISTD	5.202	132248
s193	s193_a1	sample	1	a	1	51	2015-03-06 04:50:00	23-dinor-8-iso-PGF2a	3.434	384	23-dinor-8-iso-PGF2a_ISTD	4.641	36234
s193	s193_a1	sample	1	a	1	51	2015-03-06 04:50:00	8-iso-PGF3a	3.892	6734	8-iso-PGF3a_ISTD	4.641	36234
s131	s131_b1	sample	1	b	1	52	2015-03-06 05:04:00	23-dinor-11b-PGF2a	4.007	200	23-dinor-11b-PGF2a_ISTD	5.205	196792
s131	s131_b1	sample	1	b	1	52	2015-03-06 05:04:00	23-dinor-8-iso-PGF2a	3.402	661	23-dinor-8-iso-PGF2a_ISTD	4.638	44216
s131	s131_b1	sample	1	b	1	52	2015-03-06 05:04:00	8-iso-PGF3a	3.677	13555	8-iso-PGF3a_ISTD	4.638	44216
s0001_qc	s0001qc_d2	qc	2	d	1	53	2015-03-06 05:18:00	23-dinor-11b-PGF2a	4.026	691	23-dinor-11b-PGF2a_ISTD	5.203	138945
s0001_qc	s0001qc_d2	qc	2	d	1	53	2015-03-06 05:18:00	23-dinor-8-iso-PGF2a	3.424	1201	23-dinor-8-iso-PGF2a_ISTD	4.642	33533
s0001_qc	s0001qc_d2	qc	2	d	1	53	2015-03-06 05:18:00	8-iso-PGF3a	3.683	10559	8-iso-PGF3a_ISTD	4.642	33533
s166	s166_a1	sample	1	a	1	54	2015-03-06 05:33:00	23-dinor-11b-PGF2a	4.021	1092	23-dinor-11b-PGF2a_ISTD	5.199	223135
s166	s166_a1	sample	1	a	1	54	2015-03-06 05:33:00	23-dinor-8-iso-PGF2a	3.531	705	23-dinor-8-iso-PGF2a_ISTD	4.635	46740
s166	s166_a1	sample	1	a	1	54	2015-03-06 05:33:00	8-iso-PGF3a			8-iso-PGF3a_ISTD	4.635	46740
s088	s088_a1	sample	1	a	1	55	2015-03-06 05:47:00	23-dinor-11b-PGF2a	4.01	723	23-dinor-11b-PGF2a_ISTD	5.201	147949
s088	s088_a1	sample	1	a	1	55	2015-03-06 05:47:00	23-dinor-8-iso-PGF2a	3.404	1670	23-dinor-8-iso-PGF2a_ISTD	4.638	39507
s088	s088_a1	sample	1	a	1	55	2015-03-06 05:47:00	8-iso-PGF3a			8-iso-PGF3a_ISTD	4.638	39507
s139	s139_a1	sample	1	a	1	56	2015-03-06 06:02:00	23-dinor-11b-PGF2a	4.031	598	23-dinor-11b-PGF2a_ISTD	5.208	199732
s139	s139_a1	sample	1	a	1	56	2015-03-06 06:02:00	23-dinor-8-iso-PGF2a	3.403	740	23-dinor-8-iso-PGF2a_ISTD	4.643	44816
