Sample Name	Acquisition Date & Time	Component Name	Area	IS Area	IS Name	Area Ratio	Retention Time	IS Retention Time
S0023_A1	01/11/2013 00:30:47	2-LG-Q	24373.0809308583	37995.939871595	2AG-ISTD	0.641488693435265	4.73087298874455	4.62745662874323
S0023_A1	01/11/2013 00:30:47	1-LG-Q	230397.167537792	37995.939871595	2AG-ISTD	6.06366907932387	4.95633526252353	4.62745662874323
S0023_A1	01/11/2013 00:30:47	1-OG-Q	664193.678999997	37995.939871595	2AG-ISTD	17.4809247987947	6.20099421848164	4.62745662874323
S0048_B1	01/11/2013 00:43:29	2-LG-Q	23707.9192007542	35328.1368175881	2AG-ISTD	0.670907705185127	4.72526986900837	4.62766657802905
S0048_B1	01/11/2013 00:43:29	1-LG-Q	212203.703586893	35328.1368175881	2AG-ISTD	6.00681843717399	4.95699089250269	4.62766657802905
S0048_B1	01/11/2013 00:43:29	1-OG-Q	854933.707000001	35328.1368175881	2AG-ISTD	24.199796083624	6.19955173985526	4.62766657802905
S0007_A1	01/11/2013 00:56:09	2-LG-Q	29542.9934743916	29167.0093398469	2AG-ISTD	7.01307856426024	4.72503934993404	4.6311453250378
S0007_A1	01/11/2013 00:56:09	1-LG-Q	191743.935859911	29167.0093398469	2AG-ISTD	6.0753531925215	4.95848585849147	4.6311453250378
S0007_A1	01/11/2013 00:56:09	1-OG-Q	1058254.08257976	29167.0093398469	2AG-ISTD	36.2900532778786	6.20338601258662	4.6311453250378
S0012_A1	01/11/2013 01:08:51	2-LG-Q	9492.27615119229	34452.6505827521	2AG-ISTD	0.275516571022387	4.71636353603631	4.64546569178038
S0012_A1	01/11/2013 01:08:51	1-LG-Q	87972.2683532384	34452.6505827521	2AG-ISTD	2.05342526235934	4.95464548477159	4.64546569178038
S0012_A1	01/11/2013 01:08:51	1-OG-Q	549356.057999997	34452.6505827521	2AG-ISTD	15.945262518496	6.20168888326416	4.64546569178038
S0001BLANK_A4	01/11/2013 01:21:33	2-LG-Q	80.131452315528	515.908819692726	2AG-ISTD	0.155320958388062	4.70657184243313	5.03891484916289
S0001BLANK_A4	01/11/2013 01:21:33	1-LG-Q	2233.06924452932	515.908819692726	2AG-ISTD	4.9284184322713	4.98854460840299	5.03891484916289
S0001BLANK_A4	01/11/2013 01:21:33	1-OG-Q	3930.41500000001	515.908819692726	2AG-ISTD	7.61842955571287	5.91686369472183	5.03891484916289
S0001QC_C1	01/11/2013 01:34:12	2-LG-Q	17905.2286332233	30188.2231361593	2AG-ISTD	0.093119659691946	4.72747074986367	4.63067702457367
S0001QC_C1	01/11/2013 01:34:12	1-LG-Q	217045.975545817	30188.2231361593	2AG-ISTD	7.18975656721713	4.95746065751704	4.63067702457367
S0001QC_C1	01/11/2013 01:34:12	1-OG-Q	956617.107499999	30188.2231361593	2AG-ISTD	37.6884204540733	6.20285070843415	4.63067702457367
S0016_A1	01/11/2013 01:46:54	2-LG-Q	17562.0132780137	22157.1391753126	2AG-ISTD	0.792826641511356	4.72366189184919	4.63024217694439
S0016_A1	01/11/2013 01:46:54	1-LG-Q	145416.020109526	22157.1391753126	2AG-ISTD	6.06471971751194	4.95923187470318	4.63024217694439
S0016_A1	01/11/2013 01:46:54	1-OG-Q	624162.279	22157.1391753126	2AG-ISTD	28.1774347612618	6.20260401844593	4.63024217694439
S0005_A1	01/11/2013 01:59:34	2-LG-Q	25722.8213148871	31587.2789191396	2AG-ISTD	0.814495872087625	4.7276709407161	4.63246763442107
S0005_A1	01/11/2013 01:59:34	1-LG-Q	216287.814703941	31587.2789191396	2AG-ISTD	6.84841849684767	4.96107736662123	4.63246763442107
S0005_A1	01/11/2013 01:59:34	1-OG-Q	1150723.1995	31587.2789191396	2AG-ISTD	36.4370677465697	6.20328250245032	4.63246763442107
S0009_A1	01/11/2013 02:12:16	2-LG-Q	14274.05666287	34067.9798414597	2AG-ISTD	0.418994848717382	4.72448081506764	4.63066985766263
S0009_A1	01/11/2013 02:12:16	1-LG-Q	131006.864738776	34067.9798414597	2AG-ISTD	3.84552217835495	4.95928205717183	4.63066985766263
S0009_A1	01/11/2013 02:12:16	1-OG-Q	825647.004999999	34067.9798414597	2AG-ISTD	24.2355446424794	6.2023541251536	4.63066985766263
S0045_A1	01/11/2013 02:24:58	2-LG-Q	26027.9726438741	36186.9271225278	2AG-ISTD	0.719247936022481	4.73037910560494	4.64080251536492
S0045_A1	01/11/2013 02:24:58	1-LG-Q	151473.96017074	36186.9271225278	2AG-ISTD	4.18585860186072	4.96040943040383	4.64080251536492
S0045_A1	01/11/2013 02:24:58	1-OG-Q	1058036.101	36186.9271225278	2AG-ISTD	23.2380753253108	6.20257876137905	4.64080251536492
S0047_A1	01/11/2013 02:37:38	2-LG-Q	27280.0565974544	28267.6770320354	2AG-ISTD	0.965284422666466	4.72344690963778	4.63083026596795
S0047_A1	01/11/2013 02:37:38	1-LG-Q	237996.057135587	28267.6770320354	2AG-ISTD	8.42117602808252	4.95853120689816	4.63083026596795
S0047_A1	01/11/2013 02:37:38	1-OG-Q	788917.834999999	28267.6770320354	2AG-ISTD	27.9147565838269	6.20116167275006	4.63083026596795
S0037_B1	01/11/2013 02:50:19	2-LG-Q	11547.713257293	31387.6987184148	2AG-ISTD	0.967784846857901	4.71163995279424	4.63399683690205
S0037_B1	01/11/2013 02:50:19	1-LG-Q	102453.689581494	31387.6987184148	2AG-ISTD	3.26495039356715	4.95786613821731	4.63399683690205
S0037_B1	01/11/2013 02:50:19	1-OG-Q	630083.764771908	31387.6987184148	2AG-ISTD	20.0782554961619	6.20189476119418	4.63399683690205
S0017_A1	01/11/2013 03:03:00	2-LG-Q	44487.7415251228	35088.0603611517	2AG-ISTD	7.26769924634385	4.72192964029054	4.62774594019492
S0017_A1	01/11/2013 03:03:00	1-LG-Q	360250.012689969	35088.0603611517	2AG-ISTD	10.2668792615618	4.9562195996205	4.62774594019492
S0017_A1	01/11/2013 03:03:00	1-OG-Q	1391793.4655	35088.0603611517	2AG-ISTD	33.6653339770795	6.1992672325526	4.62774594019492
S0014_A1	01/11/2013 03:15:41	2-LG-Q	13363.4728264255	29813.174105603	2AG-ISTD	0.448150333711442	4.73168930322656	4.62963088850787
S0014_A1	01/11/2013 03:15:41	1-LG-Q	125273.888143887	29813.174105603	2AG-ISTD	4.20131985212651	4.95317405857538	4.62963088850787
S0014_A1	01/11/2013 03:15:41	1-OG-Q	597806.666499998	29813.174105603	2AG-ISTD	20.0477271564564	6.20140093525017	4.62963088850787
S0018_A1	01/11/2013 03:28:23	2-LG-Q	20567.0787964714	34512.6166720832	2AG-ISTD	0.095755430306244	4.7256634344646	4.63234743106869
S0018_A1	01/11/2013 03:28:23	1-LG-Q	179348.963407783	34512.6166720832	2AG-ISTD	5.19660288618033	4.95849211746513	4.63234743106869
S0018_A1	01/11/2013 03:28:23	1-OG-Q	1295296.15688589	34512.6166720832	2AG-ISTD	37.0310909976187	6.20143510208006	4.63234743106869
S0001BLANK_A5	01/11/2013 03:41:04	2-LG-Q	235.139419692543	892.017642556326	2AG-ISTD	0.26360400117052	4.70767914557721	5.03674334331982
S0001BLANK_A5	01/11/2013 03:41:04	1-LG-Q	1036.91977417014	892.017642556326	2AG-ISTD	7.16177049054801	4.9503565562989	5.03674334331982
S0001BLANK_A5	01/11/2013 03:41:04	1-OG-Q	2353.99950000001	892.017642556326	2AG-ISTD	2.63828806485899	6.24751904761905	5.03674334331982
